date,ce_entry,pe_entry,ce_sl,pe_sl,ce_exit,ce_exit_time,pe_exit,pe_exit_time,entry,exit,diff
1/6/2016,73.1,119.95,98.685,161.9325,100.1,10:00:59,164,12:46:59,193.05,264.1,-71.05
2/6/2016,44.6,74,60.21,99.9,66.05,10:25:59,0.1,15:17:59,118.6,66.15,52.45
3/6/2016,172.7,177.95,233.145,240.2325,154.3,15:15:59,195.5,15:15:59,350.65,349.8,0.85
6/6/2016,167.9,179,226.665,241.65,147,15:15:59,183,15:15:59,346.9,330,16.9
7/6/2016,116.75,195.05,157.6125,263.3175,158.75,12:42:59,63.55,15:15:59,311.8,222.3,89.5
8/6/2016,49.7,138.8,67.095,187.38,68.65,10:23:59,71.05,15:15:59,188.5,139.7,48.8
9/6/2016,22.3,116,30.105,156.6,0.05,15:16:59,157.5,9:56:59,138.3,157.55,-19.25
10/6/2016,111.95,192.15,151.1325,259.4025,159.95,11:02:59,193.25,15:15:59,304.1,353.2,-49.1
13/06/2016,115.95,169.95,156.5325,229.4325,107.75,15:15:59,145.65,15:15:59,285.9,253.4,32.5
14/06/2016,101.85,142,137.4975,191.7,147.65,14:47:59,88.7,15:15:59,243.85,236.35,7.5
15/06/2016,68.25,125.85,92.1375,169.8975,105.95,14:04:59,20,15:15:59,194.1,125.95,68.15
16/06/2016,78.4,39.15,105.84,52.8525,118.55,9:58:59,53,10:47:59,117.55,171.55,-54
17/06/2016,165.05,168,222.8175,226.8,102.35,15:15:59,245.05,14:25:59,333.05,347.4,-14.35
20/06/2016,157.5,136.75,212.625,184.6125,220,9:50:59,78.45,15:15:59,294.25,298.45,-4.2
21/06/2016,148,107.75,199.8,145.4625,130.15,15:15:59,94.45,15:15:59,255.75,224.6,31.15
22/06/2016,101.4,81.15,136.89,109.5525,34.3,15:15:59,112.55,13:04:59,182.55,146.85,35.7
23/06/2016,74,47.55,99.9,64.1925,100,12:28:59,0.05,15:15:59,121.55,100.05,21.5
24/06/2016,247.25,302.7,333.7875,408.645,333.95,14:17:59,410,10:27:59,549.95,743.95,-194
27/06/2016,154,173.15,207.9,233.7525,145.95,15:15:59,144.7,15:15:59,327.15,290.65,36.5
28/06/2016,104.4,176,140.94,237.6,97.9,15:15:59,128,15:15:59,280.4,225.9,54.5
29/06/2016,101,82.4,136.35,111.24,137.05,13:23:59,33.9,15:15:59,183.4,170.95,12.45
30/06/2016,67.1,45,90.585,60.75,90.95,10:08:59,0.1,15:15:59,112.1,91.05,21.05
1/8/2016,174.9,94,236.115,126.9,47.85,15:15:59,137.85,11:58:59,268.9,185.7,83.2
2/8/2016,133.55,98.35,180.2925,132.7725,84.65,15:15:59,133.95,14:13:59,231.9,218.6,13.3
3/8/2016,105.45,101.9,142.3575,137.565,150.3,10:13:59,145,15:14:59,207.35,295.3,-87.95
4/8/2016,81.85,45,110.4975,60.75,118.15,9:52:59,0.15,15:15:59,126.85,118.3,8.55
5/8/2016,195.5,139.9,263.925,188.865,231.6,15:15:59,94.5,15:15:59,335.4,326.1,9.3
8/8/2016,170.65,117,230.3775,157.95,166.75,15:15:59,110.15,15:15:59,287.65,276.9,10.75
9/8/2016,153,117.8,206.55,159.03,118.25,15:15:59,86,15:15:59,270.8,204.25,66.55
10/8/2016,79.1,94.65,106.785,127.7775,7.05,15:15:59,149.15,10:09:59,173.75,156.2,17.55
11/8/2016,40.05,58.8,54.0675,79.38,55.4,10:57:59,0.15,15:16:59,98.85,55.55,43.3
12/8/2016,120,144.7,162,195.345,165.55,12:48:59,60.25,15:15:59,264.7,225.8,38.9
16/08/2016,109.1,102.45,147.285,138.3075,94.85,15:15:59,142.8,11:01:59,211.55,237.65,-26.1
17/08/2016,90.55,75.85,122.2425,102.3975,125.25,12:11:59,50.45,15:15:59,166.4,175.7,-9.3
18/08/2016,30.7,61,41.445,82.35,42.45,9:52:59,0.05,15:15:59,91.7,42.5,49.2
