Date,CE ENTRY,PE ENTRY,CE SL,PE SL,CE EXIT,CE EXIT TIME,PE EXIT,PE EXIT TIME,ENTRY SUM,EXIT SUM,entry - exit
13/06/2016,115.55,163,150.215,211.9,107.75,15:15:59,145.65,15:15:59,278.55,253.4,25.15
14/06/2016,119.05,122.1,154.765,158.73,160,14:48:59,88.7,15:15:59,241.15,248.7,-7.55
15/06/2016,68.15,122,88.595,158.6,91.8,14:03:59,20,15:15:59,190.15,111.8,78.35
16/06/2016,77.8,41.5,101.14,53.95,0.25,15:15:59,57.4,10:48:59,119.3,57.65,61.65
17/06/2016,162.6,164,211.38,213.2,102.35,15:15:59,225,12:25:59,326.6,327.35,-0.75
20/06/2016,183.8,113.55,238.94,147.615,248,12:38:59,78.45,15:15:59,297.35,326.45,-29.1
21/06/2016,107.15,142.8,139.295,185.64,83,15:15:59,143.7,15:15:59,249.95,226.7,23.25
22/06/2016,96,86.45,124.8,112.385,34.3,15:15:59,112.55,13:04:59,182.45,146.85,35.6
23/06/2016,70.9,47.8,92.17,62.14,94.85,12:12:59,0.05,15:15:59,118.7,94.9,23.8
24/06/2016,253.3,294.95,329.29,383.435,333.5,13:07:59,86.5,15:15:59,548.25,420,128.25
27/06/2016,134.5,192.05,174.85,249.665,178.95,12:36:59,144.7,15:15:59,326.55,323.65,2.9
28/06/2016,146.6,130.35,190.58,169.455,191,13:01:59,84.35,15:15:59,276.95,275.35,1.6
29/06/2016,71.55,105.2,93.015,136.76,94,14:30:59,67.75,15:15:59,176.75,161.75,15
30/06/2016,50.45,70.55,65.585,91.715,69.95,13:43:59,93,12:03:59,121,162.95,-41.95
1/8/2016,171.2,95.1,222.56,123.63,47.85,15:15:59,137.85,11:58:59,266.3,185.7,80.6
2/8/2016,120.1,108.95,156.13,141.635,157,11:19:59,149,14:14:59,229.05,306,-76.95
3/8/2016,148.2,77.4,192.66,100.62,42.8,15:15:59,102,11:21:59,225.6,144.8,80.8
4/8/2016,50.95,57.75,66.235,75.075,0.15,15:16:59,76.85,13:06:59,108.7,77,31.7
5/8/2016,159.5,159.75,207.35,207.675,170.55,15:15:59,131.35,15:15:59,319.25,301.9,17.35
8/8/2016,125.3,154.25,162.89,200.525,117.6,15:15:59,157.7,15:15:59,279.55,275.3,4.25
9/8/2016,154,116,200.2,150.8,118.25,15:15:59,86,15:15:59,270,204.25,65.75
10/8/2016,97.5,73,126.75,94.9,55.5,15:15:59,73.05,15:15:59,170.5,128.55,41.95
11/8/2016,40.3,51.55,52.39,67.015,53.55,10:55:59,0.15,15:16:59,91.85,53.7,38.15
12/8/2016,115.35,142.15,149.955,184.795,165.55,12:48:59,60.25,15:15:59,257.5,225.8,31.7
12/8/2016,115.35,142.15,149.955,184.795,165.55,12:48:59,60.25,15:15:59,257.5,225.8,31.7
16/08/2016,99.05,103.5,128.765,134.55,94.85,15:15:59,138,11:00:59,202.55,232.85,-30.3
17/08/2016,77.9,88.95,101.27,115.635,104,11:05:59,50.45,15:15:59,166.85,154.45,12.4
18/08/2016,23,60.15,29.9,78.195,34.05,10:35:59,0.05,15:17:59,83.15,34.1,49.05
19/08/2016,155,157.3,201.5,204.49,153.4,15:15:59,135.5,15:15:59,312.3,288.9,23.4
19/08/2016,155,157.3,201.5,204.49,153.4,15:15:59,135.5,15:15:59,312.3,288.9,23.4
22/08/2016,121.8,143.5,158.34,186.55,159.85,13:04:59,106.3,15:15:59,265.3,266.15,-0.85
23/08/2016,115,117,149.5,152.1,149.8,15:27:59,61.05,15:15:59,232,210.85,21.15
24/08/2016,90.1,77.55,117.13,100.815,119,14:59:59,30.7,15:15:59,167.65,149.7,17.95
25/08/2016,55.85,33.75,72.605,43.875,0.1,15:18:59,45.95,12:35:59,89.6,46.05,43.55
26/08/2016,142.5,99.1,185.25,128.83,140.2,15:15:59,134,12:08:59,241.6,274.2,-32.6
26/08/2016,142.5,99.1,185.25,128.83,140.2,15:15:59,134,12:08:59,241.6,274.2,-32.6
29/08/2016,106,116.1,137.8,150.93,109.4,15:15:59,152.7,13:32:59,222.1,262.1,-40
30/08/2016,57.4,101.5,74.62,131.95,74.95,14:23:59,53.8,15:15:59,158.9,128.75,30.15
31/08/2016,52.6,76,68.38,98.8,69,13:29:59,26.3,15:15:59,128.6,95.3,33.3
1/9/2016,53.1,39.6,69.03,51.48,71.95,10:48:59,52.4,12:20:59,92.7,124.35,-31.65
2/9/2016,164.45,126,213.785,163.8,182.05,15:15:59,93,15:15:59,290.45,275.05,15.4
2/9/2016,164.45,126,213.785,163.8,182.05,15:15:59,93,15:15:59,290.45,275.05,15.4
6/9/2016,97.4,117.5,126.62,152.75,126.95,11:23:59,29.8,15:15:59,214.9,156.75,58.15
7/9/2016,122.5,68,159.25,88.4,166,11:05:59,58.65,15:15:59,190.5,224.65,-34.15
8/9/2016,42.4,72.45,55.12,94.185,0.05,15:15:59,95,11:28:59,114.85,95.05,19.8
9/9/2016,151.75,161,197.275,209.3,203.75,13:09:59,107.2,15:15:59,312.75,310.95,1.8
12/9/2016,182,128.05,236.6,166.465,148,15:15:59,128.4,15:15:59,310.05,276.4,33.65
12/9/2016,182,128.05,236.6,166.465,148,15:15:59,128.4,15:15:59,310.05,276.4,33.65
14/09/2016,121.75,86,158.275,111.8,160,12:21:59,29.8,15:15:59,207.75,189.8,17.95
15/09/2016,42.25,44.2,54.925,57.46,56.2,11:35:59,59.9,12:23:59,86.45,116.1,-29.65
16/09/2016,175,153,227.5,198.9,70.85,15:15:59,202.55,12:35:59,328,273.4,54.6
19/09/2016,203.25,146.65,264.225,190.645,182.05,15:15:59,154.7,15:15:59,349.9,336.75,13.15
20/09/2016,149.7,170.95,194.61,222.235,137.05,15:15:59,167.6,15:15:59,320.65,304.65,16
21/09/2016,139.45,129.15,181.285,167.895,110,15:15:59,169.05,14:18:59,268.6,279.05,-10.45
22/09/2016,66.2,35.15,86.06,45.695,27.35,15:15:59,46.9,10:39:59,101.35,74.25,27.1
23/09/2016,190,127.3,247,165.49,110.45,15:15:59,166.3,15:09:59,317.3,276.75,40.55
26/09/2016,168,84.4,218.4,109.72,94.65,15:15:59,113.2,12:55:59,252.4,207.85,44.55
27/09/2016,126.25,98,164.125,127.4,166,11:26:59,129.05,14:31:59,224.25,295.05,-70.8
28/09/2016,75.3,90,97.89,117,98.5,12:07:59,39.85,15:15:59,165.3,138.35,26.95
29/09/2016,59.5,36.65,77.35,47.645,0.15,15:15:59,48,10:59:59,96.15,48.15,48
30/09/2016,237,205.15,308.1,266.695,219.95,15:15:59,274.15,12:09:59,442.15,494.1,-51.95
3/10/2016,205.35,139.15,266.955,180.895,213.65,15:15:59,105.5,15:15:59,344.5,319.15,25.35
4/10/2016,174.95,122.35,227.435,159.055,255.35,13:56:59,41.3,15:15:59,297.3,296.65,0.65
5/10/2016,83.8,84.65,108.94,110.045,52.95,15:15:59,113.35,12:24:59,168.45,166.3,2.15
6/10/2016,49.45,42.6,64.285,55.38,67.25,10:41:59,60.5,14:00:59,92.05,127.75,-35.7
