Date,CE_ENTRY,PE_ENTRY,CE_SL,PE_SL,CE_EXIT,CE_EXIT_TIME,PE_EXIT,PE_EXIT_TIME
1/1/2018,92.6,149.35,120.38,194.155,46.4,15:15:59,199.9,14:54:59
2/1/2018,125,98.55,162.5,128.115,110,15:15:59,132.7,13:56:59
3/1/2018,83.55,71.65,108.615,93.145,30.8,15:15:59,114.5,12:40:59
4/1/2018,54.65,25.95,71.045,33.735,76.95,10:56:59,0.1,15:15:59
5/1/2018,146.8,119.75,190.84,155.675,195,15:26:59,90.7,15:15:59
5/1/2018,146.8,119.75,190.84,155.675,195,15:26:59,90.7,15:15:59
5/1/2018,146.8,119.75,190.84,155.675,195,15:26:59,90.7,15:15:59
8/1/2018,128.1,103.4,166.53,134.42,104.2,15:15:59,105.2,15:15:59
9/1/2018,73.5,111,95.55,144.3,77.2,15:15:59,91.1,15:15:59
10/1/2018,48.25,102,62.725,132.6,23.15,15:15:59,138,11:00:59
11/1/2018,21.65,52.05,28.145,67.665,40,10:43:59,0.1,15:15:59
12/1/2018,126.45,110.75,164.385,143.975,129.9,15:15:59,146.9,12:16:59
12/1/2018,126.45,110.75,164.385,143.975,129.9,15:15:59,146.9,12:16:59
12/1/2018,126.45,110.75,164.385,143.975,129.9,15:15:59,146.9,12:16:59
15/01/2018,88.3,148.75,114.79,193.375,118.25,11:22:59,94.3,15:15:59
16/01/2018,90,106.1,117,137.93,71,15:15:59,107.85,15:15:59
17/01/2018,52.15,115.8,67.795,150.54,72,14:10:59,15.3,15:15:59
18/01/2018,37.5,80.05,48.75,104.065,0.1,15:15:59,110,11:31:59
19/01/2018,163.45,181,212.485,235.3,218.05,14:33:59,97.1,15:15:59
19/01/2018,163.45,181,212.485,235.3,218.05,14:33:59,97.1,15:15:59
19/01/2018,163.45,181,212.485,235.3,218.05,14:33:59,97.1,15:15:59
22/01/2018,172.1,197.3,223.73,256.49,231.25,13:58:59,135.55,15:15:59
23/01/2018,130.45,201.05,169.585,261.365,179.1,12:36:59,80.05,15:15:59
24/01/2018,151.05,153,196.365,198.9,197,10:55:59,85.15,15:15:59
25/01/2018,67.6,85.55,87.88,111.215,95.6,13:58:59,135.5,11:17:59
25/01/2018,67.6,85.55,87.88,111.215,95.6,13:58:59,135.5,11:17:59
25/01/2018,67.6,85.55,87.88,111.215,95.6,13:58:59,135.5,11:17:59
25/01/2018,67.6,85.55,87.88,111.215,95.6,13:58:59,135.5,11:17:59
29/01/2018,332.6,364.7,432.38,474.11,266.15,15:15:59,375.35,15:15:59
30/01/2018,333.5,254.85,433.55,331.305,265.8,15:15:59,238.3,15:15:59
31/01/2018,231,199.15,300.3,258.895,311.7,14:42:59,263,10:56:59
1/2/2018,215.85,212.5,280.605,276.25,0.05,15:15:59,287.5,12:13:59
2/2/2018,252.65,269.95,328.445,350.935,144.25,15:15:59,363.05,15:14:59
2/2/2018,252.65,269.95,328.445,350.935,144.25,15:15:59,363.05,15:14:59
2/2/2018,252.65,269.95,328.445,350.935,144.25,15:15:59,363.05,15:14:59
5/2/2018,259.75,237.3,337.675,308.49,261.45,15:15:59,209.25,15:15:59
6/2/2018,309.9,356.65,402.87,463.645,407.9,12:42:59,102,15:15:59
