date,ce_entry,pe_entry,ce_sl,pe_sl,ce_exit,ce_exit_time,pe_exit,pe_exit_time,entry,exit,diff
1/6/2016,87.8,95.9,105.36,115.08,16.1,15:15:59,115.35,11:06:59,183.7,131.45,52.25
2/6/2016,58.8,48,70.56,57.6,75,10:39:59,0.1,15:17:59,106.8,75.1,31.7
3/6/2016,163.95,190,196.74,228,154.3,15:15:59,195.5,15:15:59,353.95,349.8,4.15
6/6/2016,163.5,183.5,196.2,220.2,147,15:15:59,183,15:15:59,347,330,17
7/6/2016,127,175.05,152.4,210.06,153,12:38:59,219.3,11:00:59,302.05,372.3,-70.25
8/6/2016,64.2,108.95,77.04,130.74,88.25,11:58:59,71.05,15:15:59,173.15,159.3,13.85
9/6/2016,44.95,73.4,53.94,88.08,54,11:00:59,90.55,14:04:59,118.35,144.55,-26.2
10/6/2016,110.25,181,132.3,217.2,136.4,11:00:59,219,13:28:59,291.25,355.4,-64.15
13/06/2016,117,158.75,140.4,190.5,107.75,15:15:59,198,11:30:59,275.75,305.75,-30
14/06/2016,123.55,117,148.26,140.4,160,14:48:59,142.55,14:11:59,240.55,302.55,-62
15/06/2016,69,122,82.8,146.4,91.8,14:03:59,20,15:15:59,191,111.8,79.2
16/06/2016,84,34.7,100.8,41.64,0.25,15:15:59,44.2,10:28:59,118.7,44.45,74.25
17/06/2016,165,161.7,198,194.04,102.35,15:15:59,199.7,12:24:59,326.7,302.05,24.65
20/06/2016,178.4,114.5,214.08,137.4,219.85,12:30:59,78.45,15:15:59,292.9,298.3,-5.4
21/06/2016,112.9,139.75,135.48,167.7,83,15:15:59,143.7,15:15:59,252.65,226.7,25.95
22/06/2016,97.4,86.15,116.88,103.38,34.3,15:15:59,106.4,12:59:59,183.55,140.7,42.85
23/06/2016,70.4,48.85,84.48,58.62,85.75,11:10:59,0.05,15:15:59,119.25,85.8,33.45
24/06/2016,274,271.15,328.8,325.38,333.5,13:07:59,86.5,15:15:59,545.15,420,125.15
27/06/2016,142,185.05,170.4,222.06,172.9,12:35:59,144.7,15:15:59,327.05,317.6,9.45
28/06/2016,142.8,133.15,171.36,159.78,171.4,12:32:59,84.35,15:15:59,275.95,255.75,20.2
29/06/2016,75.6,96.2,90.72,115.44,92.05,14:18:59,116,10:55:59,171.8,208.05,-36.25
30/06/2016,45.9,76.65,55.08,91.98,57.7,13:38:59,93,12:03:59,122.55,150.7,-28.15
1/8/2016,171.45,95.6,205.74,114.72,47.85,15:15:59,118,11:06:59,267.05,165.85,101.2
2/8/2016,169.95,75,203.94,90,207.75,10:50:59,100,14:14:59,244.95,307.75,-62.8
3/8/2016,150,77.4,180,92.88,42.8,15:15:59,100.6,11:20:59,227.4,143.4,84
4/8/2016,45.5,71.15,54.6,85.38,56.8,10:32:59,89.9,13:10:59,116.65,146.7,-30.05
5/8/2016,192.6,132.95,231.12,159.54,236,15:02:59,94.5,15:15:59,325.55,330.5,-4.95
8/8/2016,127.75,152.45,153.3,182.94,117.6,15:15:59,157.7,15:15:59,280.2,275.3,4.9
9/8/2016,155,117,186,140.4,118.25,15:15:59,86,15:15:59,272,204.25,67.75
10/8/2016,101.4,65.1,121.68,78.12,55.5,15:15:59,79.55,10:31:59,166.5,135.05,31.45
11/8/2016,40.15,51.7,48.18,62.04,53.55,10:55:59,0.15,15:16:59,91.85,53.7,38.15
12/8/2016,112.25,146.25,134.7,175.5,135.6,12:32:59,60.25,15:15:59,258.5,195.85,62.65
16/08/2016,105.55,98.45,126.66,118.14,94.85,15:15:59,118.6,10:58:59,204,213.45,-9.45
17/08/2016,78.5,87.2,94.2,104.64,94.7,11:02:59,50.45,15:15:59,165.7,145.15,20.55
18/08/2016,21.45,66.25,25.74,79.5,27,10:30:59,0.05,15:17:59,87.7,27.05,60.65
19/08/2016,158.85,155,190.62,186,153.4,15:15:59,135.5,15:15:59,313.85,288.9,24.95
22/08/2016,134.7,130.9,161.64,157.08,162,13:25:59,159,11:46:59,265.6,321,-55.4
23/08/2016,120,112.7,144,135.24,146.95,15:25:59,143.4,10:36:59,232.7,290.35,-57.65
24/08/2016,94.8,73.65,113.76,88.38,115.45,14:58:59,89,12:16:59,168.45,204.45,-36
25/08/2016,56.8,33.95,68.16,40.74,0.1,15:18:59,41.05,12:30:59,90.75,41.15,49.6
26/08/2016,138.95,100.1,166.74,120.12,140.2,15:15:59,122,10:35:59,239.05,262.2,-23.15
29/08/2016,106,117.65,127.2,141.18,129.9,14:51:59,142,13:16:59,223.65,271.9,-48.25
30/08/2016,102.05,59.75,122.46,71.7,122.9,10:38:59,23.4,15:15:59,161.8,146.3,15.5
31/08/2016,86.9,41.3,104.28,49.56,104.6,10:52:59,7.95,15:15:59,128.2,112.55,15.65
1/9/2016,56.95,38.95,68.34,46.74,71.95,10:48:59,46.75,11:32:59,95.9,118.7,-22.8
2/9/2016,164,128,196.8,153.6,197.45,15:27:59,93,15:15:59,292,290.45,1.55
6/9/2016,97.05,115.65,116.46,138.78,120,11:02:59,29.8,15:15:59,212.7,149.8,62.9
7/9/2016,115,75.2,138,90.24,138.75,11:01:59,58.65,15:15:59,190.2,197.4,-7.2
8/9/2016,72.3,43.35,86.76,52.02,90.05,10:28:59,57.1,12:20:59,115.65,147.15,-31.5
9/9/2016,158.7,154.05,190.44,184.86,193.4,12:44:59,107.2,15:15:59,312.75,300.6,12.15
12/9/2016,183,122.15,219.6,146.58,148,15:15:59,147.15,10:46:59,305.15,295.15,10
14/09/2016,128.85,80.1,154.62,96.12,157.95,12:20:59,29.8,15:15:59,208.95,187.75,21.2
15/09/2016,45.55,42.25,54.66,50.7,56.2,11:35:59,54.35,12:18:59,87.8,110.55,-22.75
16/09/2016,171.35,158.95,205.62,190.74,70.85,15:15:59,202.55,12:35:59,330.3,273.4,56.9
16/09/2016,171.35,158.95,205.62,190.74,70.85,15:15:59,202.55,12:35:59,330.3,273.4,56.9
19/09/2016,197.45,154.4,236.94,185.28,182.05,15:15:59,154.7,15:15:59,351.85,336.75,15.1
20/09/2016,147.85,172,177.42,206.4,137.05,15:15:59,167.6,15:15:59,319.85,304.65,15.2
21/09/2016,138.05,133.75,165.66,160.5,110,15:15:59,169.05,14:18:59,271.8,279.05,-7.25
22/09/2016,64.85,37,77.82,44.4,27.35,15:15:59,46.9,10:39:59,101.85,74.25,27.6
23/09/2016,188.35,129,226.02,154.8,110.45,15:15:59,163.9,15:08:59,317.35,274.35,43
26/09/2016,115.55,123.35,138.66,148.02,59.45,15:15:59,152.5,11:57:59,238.9,211.95,26.95
27/09/2016,130.3,95.1,156.36,114.12,166,11:26:59,114.8,14:26:59,225.4,280.8,-55.4
28/09/2016,77.5,87.85,93,105.42,93.5,11:39:59,39.85,15:15:59,165.35,133.35,32
29/09/2016,65.1,30.75,78.12,36.9,0.15,15:15:59,37.4,10:26:59,95.85,37.55,58.3
30/09/2016,277.5,182.8,333,219.36,278.95,15:15:59,225,12:09:59,460.3,503.95,-43.65
3/10/2016,197.15,144,236.58,172.8,213.65,15:15:59,173.05,11:34:59,341.15,386.7,-45.55
4/10/2016,130,166.8,156,200.16,158,12:57:59,67.85,15:15:59,296.8,225.85,70.95
5/10/2016,79.65,89.15,95.58,106.98,52.95,15:15:59,109,12:18:59,168.8,161.95,6.85
6/10/2016,50,41.2,60,49.44,61.8,10:33:59,50.9,11:29:59,91.2,112.7,-21.5
7/10/2016,156.55,118.6,187.86,142.32,133.4,15:15:59,142.7,11:21:59,275.15,276.1,-0.95
10/10/2016,81,117.25,97.2,140.7,33.55,15:15:59,147.7,12:31:59,198.25,181.25,17
13/10/2016,50,55.2,60,66.24,61.4,10:52:59,67.95,12:36:59,105.2,129.35,-24.15
14/10/2016,169,145,202.8,174,172,15:15:59,178.85,11:06:59,314,350.85,-36.85
17/10/2016,136.15,153.15,163.38,183.78,78.65,15:15:59,194.1,11:55:59,289.3,272.75,16.55
18/10/2016,117.6,128.55,141.12,154.26,141.95,13:03:59,154.7,10:48:59,246.15,296.65,-50.5
19/10/2016,98.5,80.95,118.2,97.14,126,12:06:59,99.9,12:53:59,179.45,225.9,-46.45
20/10/2016,33.9,92.95,40.68,111.54,41.8,11:01:59,112.75,10:46:59,126.85,154.55,-27.7
21/10/2016,154.85,180,185.82,216,196.3,14:44:59,106.75,15:15:59,334.85,303.05,31.8
24/10/2016,151.6,139.9,181.92,167.88,182.85,12:42:59,116.6,15:15:59,291.5,299.45,-7.95
25/10/2016,157.45,113.05,188.94,135.66,192.75,11:35:59,60.5,15:15:59,270.5,253.25,17.25
26/10/2016,97,87.95,116.4,105.54,30.95,15:15:59,110,12:54:59,184.95,140.95,44
27/10/2016,61.75,61.95,74.1,74.34,89.4,13:15:59,74.95,10:46:59,123.7,164.35,-40.65
